mean_damage_value,time,facility,location
10.0,2020/4/10 0:25,sewer_and_water,9
1.5,2020/4/10 0:25,sewer_and_water,12
8.0,2020/4/10 0:30,buildings,4
6.0,2020/4/10 0:30,buildings,5
4.5,2020/4/10 0:30,buildings,6
8.0,2020/4/10 0:30,buildings,9
0.0,2020/4/10 0:30,buildings,12
10.0,2020/4/10 0:30,buildings,13
8.0,2020/4/10 0:30,buildings,15
5.0,2020/4/10 0:30,buildings,16
6.0,2020/4/10 0:30,medical,4
1.5,2020/4/10 0:30,medical,5
3.5,2020/4/10 0:30,medical,6
9.0,2020/4/10 0:30,medical,9
5.0,2020/4/10 0:30,medical,16
6.5,2020/4/10 0:30,power,4
5.0,2020/4/10 0:30,power,5
5.0,2020/4/10 0:30,power,6
1.0,2020/4/10 0:30,power,9
2.0,2020/4/10 0:30,power,12
10.0,2020/4/10 0:30,power,13
5.0,2020/4/10 0:30,power,15
4.0,2020/4/10 0:30,power,16
7.5,2020/4/10 0:30,roads_and_bridges,4
9.0,2020/4/10 0:30,roads_and_bridges,5
7.5,2020/4/10 0:30,roads_and_bridges,6
1.0,2020/4/10 0:30,roads_and_bridges,9
1.0,2020/4/10 0:30,roads_and_bridges,12
7.0,2020/4/10 0:30,roads_and_bridges,13
10.0,2020/4/10 0:30,roads_and_bridges,15
5.0,2020/4/10 0:30,roads_and_bridges,16
4.5,2020/4/10 0:30,sewer_and_water,4
4.0,2020/4/10 0:30,sewer_and_water,5
2.0,2020/4/10 0:30,sewer_and_water,6
10.0,2020/4/10 0:30,sewer_and_water,9
0.0,2020/4/10 0:30,sewer_and_water,12
6.0,2020/4/10 0:30,sewer_and_water,13
1.0,2020/4/10 0:30,sewer_and_water,15
6.0,2020/4/10 0:30,sewer_and_water,16
6.33333333333333,2020/4/10 0:35,buildings,2
6.0,2020/4/10 0:35,buildings,5
1.0,2020/4/10 0:35,buildings,6
8.0,2020/4/10 0:35,buildings,19
1.0,2020/4/10 0:35,medical,5
3.0,2020/4/10 0:35,medical,6
5.0,2020/4/10 0:35,power,2
10.0,2020/4/10 0:35,power,5
10.0,2020/4/10 0:35,power,6
0.0,2020/4/10 0:35,power,19
4.0,2020/4/10 0:35,roads_and_bridges,2
4.0,2020/4/10 0:35,roads_and_bridges,5
3.0,2020/4/10 0:35,roads_and_bridges,6
0.0,2020/4/10 0:35,roads_and_bridges,19
2.33333333333333,2020/4/10 0:35,sewer_and_water,2
1.0,2020/4/10 0:35,sewer_and_water,5
0.0,2020/4/10 0:35,sewer_and_water,6
10.0,2020/4/10 0:35,sewer_and_water,19
4.0,2020/4/10 0:40,buildings,2
4.0,2020/4/10 0:40,buildings,9
1.0,2020/4/10 0:40,buildings,19
0.0,2020/4/10 0:40,medical,9
1.0,2020/4/10 0:40,power,2
7.0,2020/4/10 0:40,power,9
4.0,2020/4/10 0:40,power,19
4.0,2020/4/10 0:40,roads_and_bridges,2
3.0,2020/4/10 0:40,roads_and_bridges,9
3.5,2020/4/10 0:40,roads_and_bridges,19
2.0,2020/4/10 0:40,sewer_and_water,2
4.0,2020/4/10 0:40,sewer_and_water,9
8.0,2020/4/10 0:40,sewer_and_water,19
10.0,2020/4/10 0:45,buildings,1
10.0,2020/4/10 0:45,buildings,4
2.0,2020/4/10 0:45,buildings,9
4.0,2020/4/10 0:45,buildings,10
0.0,2020/4/10 0:45,buildings,15
10.0,2020/4/10 0:45,buildings,19
0.0,2020/4/10 0:45,medical,1
3.0,2020/4/10 0:45,medical,9
10.0,2020/4/10 0:45,power,1
0.0,2020/4/10 0:45,power,4
5.0,2020/4/10 0:45,power,9
0.0,2020/4/10 0:45,power,10
4.0,2020/4/10 0:45,power,15
3.0,2020/4/10 0:45,power,19
10.0,2020/4/10 0:45,roads_and_bridges,1
7.0,2020/4/10 0:45,roads_and_bridges,4
8.0,2020/4/10 0:45,roads_and_bridges,9
7.0,2020/4/10 0:45,roads_and_bridges,10
0.0,2020/4/10 0:45,roads_and_bridges,15
8.0,2020/4/10 0:45,roads_and_bridges,19
0.0,2020/4/10 0:45,sewer_and_water,1
2.0,2020/4/10 0:45,sewer_and_water,4
6.0,2020/4/10 0:45,sewer_and_water,9
3.0,2020/4/10 0:45,sewer_and_water,10
0.0,2020/4/10 0:45,sewer_and_water,15
4.0,2020/4/10 0:45,sewer_and_water,19
5.0,2020/4/10 0:50,buildings,2
3.0,2020/4/10 0:50,buildings,15
3.0,2020/4/10 0:50,buildings,16
6.0,2020/4/10 0:50,buildings,17
5.0,2020/4/10 0:50,buildings,19
4.0,2020/4/10 0:50,medical,16
8.0,2020/4/10 0:50,power,2
1.0,2020/4/10 0:50,power,15
5.0,2020/4/10 0:50,power,16
10.0,2020/4/10 0:50,power,17
10.0,2020/4/10 0:50,power,19
3.0,2020/4/10 0:50,roads_and_bridges,2
3.0,2020/4/10 0:50,roads_and_bridges,15
6.0,2020/4/10 0:50,roads_and_bridges,16
10.0,2020/4/10 0:50,roads_and_bridges,17
4.0,2020/4/10 0:50,roads_and_bridges,19
10.0,2020/4/10 0:50,sewer_and_water,2
3.0,2020/4/10 0:50,sewer_and_water,15
7.0,2020/4/10 0:50,sewer_and_water,16
7.0,2020/4/10 0:50,sewer_and_water,17
10.0,2020/4/10 0:50,sewer_and_water,19
7.0,2020/4/10 0:55,buildings,1
5.0,2020/4/10 0:55,buildings,4
4.0,2020/4/10 0:55,buildings,5
4.33333333333333,2020/4/10 0:55,buildings,6
8.0,2020/4/10 0:55,buildings,9
10.0,2020/4/10 0:55,buildings,13
9.0,2020/4/10 0:55,buildings,15
2.0,2020/4/10 0:55,medical,1
9.0,2020/4/10 0:55,medical,5
5.0,2020/4/10 0:55,medical,6
1.5,2020/4/10 0:55,medical,9
6.0,2020/4/10 0:55,power,1
0.0,2020/4/10 0:55,power,4
0.0,2020/4/10 0:55,power,5
3.66666666666667,2020/4/10 0:55,power,6
4.5,2020/4/10 0:55,power,9
5.0,2020/4/10 0:55,power,13
8.0,2020/4/10 0:55,power,15
10.0,2020/4/10 0:55,roads_and_bridges,1
2.0,2020/4/10 0:55,roads_and_bridges,4
0.0,2020/4/10 0:55,roads_and_bridges,5
6.66666666666667,2020/4/10 0:55,roads_and_bridges,6
4.0,2020/4/10 0:55,roads_and_bridges,9
9.0,2020/4/10 0:55,roads_and_bridges,13
7.0,2020/4/10 0:55,roads_and_bridges,15
9.0,2020/4/10 0:55,sewer_and_water,1
4.0,2020/4/10 0:55,sewer_and_water,4
8.0,2020/4/10 0:55,sewer_and_water,5
6.33333333333333,2020/4/10 0:55,sewer_and_water,6
7.5,2020/4/10 0:55,sewer_and_water,9
8.0,2020/4/10 0:55,sewer_and_water,13
0.0,2020/4/10 0:55,sewer_and_water,15
6.0,2020/4/10 10:00,buildings,8
4.0,2020/4/10 10:00,buildings,14
8.0,2020/4/10 10:00,buildings,15
9.0,2020/4/10 10:00,buildings,19
1.0,2020/4/10 10:00,power,8
7.0,2020/4/10 10:00,power,14
0.0,2020/4/10 10:00,power,15
4.0,2020/4/10 10:00,power,19
1.0,2020/4/10 10:00,roads_and_bridges,8
7.0,2020/4/10 10:00,roads_and_bridges,14
6.0,2020/4/10 10:00,roads_and_bridges,15
9.0,2020/4/10 10:00,roads_and_bridges,19
8.0,2020/4/10 10:00,sewer_and_water,8
4.0,2020/4/10 10:00,sewer_and_water,14
10.0,2020/4/10 10:00,sewer_and_water,15
4.0,2020/4/10 10:00,sewer_and_water,19
10.0,2020/4/10 10:05,buildings,2
4.66666666666667,2020/4/10 10:05,buildings,6
6.33333333333333,2020/4/10 10:05,buildings,8
5.0,2020/4/10 10:05,buildings,15
3.66666666666667,2020/4/10 10:05,medical,6
1.0,2020/4/10 10:05,power,2
3.66666666666667,2020/4/10 10:05,power,6
4.33333333333333,2020/4/10 10:05,power,8
8.33333333333333,2020/4/10 10:05,power,15
8.0,2020/4/10 10:05,roads_and_bridges,2
4.66666666666667,2020/4/10 10:05,roads_and_bridges,6
5.0,2020/4/10 10:05,roads_and_bridges,8
3.0,2020/4/10 10:05,roads_and_bridges,15
2.0,2020/4/10 10:05,sewer_and_water,2
8.66666666666667,2020/4/10 10:05,sewer_and_water,6
5.0,2020/4/10 10:05,sewer_and_water,8
7.0,2020/4/10 10:05,sewer_and_water,15
0.0,2020/4/10 10:10,buildings,8
10.0,2020/4/10 10:10,buildings,15
10.0,2020/4/10 10:10,power,8
9.0,2020/4/10 10:10,power,15
8.0,2020/4/10 10:10,roads_and_bridges,8
5.0,2020/4/10 10:10,roads_and_bridges,15
10.0,2020/4/10 10:10,sewer_and_water,8
3.0,2020/4/10 10:10,sewer_and_water,15
8.0,2020/4/10 10:15,buildings,2
0.5,2020/4/10 10:15,buildings,5
9.0,2020/4/10 10:15,buildings,6
6.0,2020/4/10 10:15,buildings,14
6.0,2020/4/10 10:15,buildings,15
6.0,2020/4/10 10:15,medical,5
5.5,2020/4/10 10:15,medical,6
1.0,2020/4/10 10:15,power,2
3.0,2020/4/10 10:15,power,5
2.5,2020/4/10 10:15,power,6
10.0,2020/4/10 10:15,power,14
1.0,2020/4/10 10:15,power,15
9.0,2020/4/10 10:15,roads_and_bridges,2
9.5,2020/4/10 10:15,roads_and_bridges,5
7.0,2020/4/10 10:15,roads_and_bridges,6
2.0,2020/4/10 10:15,roads_and_bridges,14
2.0,2020/4/10 10:15,roads_and_bridges,15
0.0,2020/4/10 10:15,sewer_and_water,2
7.0,2020/4/10 10:15,sewer_and_water,5
7.5,2020/4/10 10:15,sewer_and_water,6
4.0,2020/4/10 10:15,sewer_and_water,14
6.0,2020/4/10 10:15,sewer_and_water,15
9.0,2020/4/10 10:20,buildings,5
4.0,2020/4/10 10:20,buildings,6
8.5,2020/4/10 10:20,buildings,9
10.0,2020/4/10 10:20,buildings,14
3.0,2020/4/10 10:20,buildings,15
1.0,2020/4/10 10:20,medical,5
10.0,2020/4/10 10:20,medical,6
8.0,2020/4/10 10:20,medical,9
0.0,2020/4/10 10:20,power,5
3.5,2020/4/10 10:20,power,6
1.0,2020/4/10 10:20,power,9
9.0,2020/4/10 10:20,power,14
10.0,2020/4/10 10:20,power,15
10.0,2020/4/10 10:20,roads_and_bridges,5
3.5,2020/4/10 10:20,roads_and_bridges,6
3.5,2020/4/10 10:20,roads_and_bridges,9
8.0,2020/4/10 10:20,roads_and_bridges,14
5.0,2020/4/10 10:20,roads_and_bridges,15
7.0,2020/4/10 10:20,sewer_and_water,5
7.0,2020/4/10 10:20,sewer_and_water,6
5.5,2020/4/10 10:20,sewer_and_water,9
10.0,2020/4/10 10:20,sewer_and_water,14
3.0,2020/4/10 10:20,sewer_and_water,15
5.0,2020/4/10 10:25,buildings,2
10.0,2020/4/10 10:25,buildings,6
1.66666666666667,2020/4/10 10:25,buildings,8
6.33333333333333,2020/4/10 10:25,buildings,9
10.0,2020/4/10 10:25,buildings,15
4.0,2020/4/10 10:25,medical,6
3.0,2020/4/10 10:25,medical,8
5.33333333333333,2020/4/10 10:25,medical,9
10.0,2020/4/10 10:25,power,2
3.0,2020/4/10 10:25,power,6
9.66666666666667,2020/4/10 10:25,power,8
4.33333333333333,2020/4/10 10:25,power,9
10.0,2020/4/10 10:25,power,15
10.0,2020/4/10 10:25,roads_and_bridges,2
8.0,2020/4/10 10:25,roads_and_bridges,6
1.0,2020/4/10 10:25,roads_and_bridges,8
4.33333333333333,2020/4/10 10:25,roads_and_bridges,9
8.0,2020/4/10 10:25,roads_and_bridges,15
2.0,2020/4/10 10:25,sewer_and_water,2
10.0,2020/4/10 10:25,sewer_and_water,6
7.66666666666667,2020/4/10 10:25,sewer_and_water,8
6.33333333333333,2020/4/10 10:25,sewer_and_water,9
2.0,2020/4/10 10:25,sewer_and_water,15
5.0,2020/4/10 10:30,buildings,2
6.0,2020/4/10 10:30,buildings,6
10.0,2020/4/10 10:30,buildings,14
10.0,2020/4/10 10:30,buildings,15
10.0,2020/4/10 10:30,buildings,16
6.0,2020/4/10 10:30,buildings,18
5.0,2020/4/10 10:30,medical,6
1.0,2020/4/10 10:30,medical,16
1.0,2020/4/10 10:30,power,2
6.0,2020/4/10 10:30,power,6
7.0,2020/4/10 10:30,power,14
6.0,2020/4/10 10:30,power,15
4.0,2020/4/10 10:30,power,16
8.0,2020/4/10 10:30,power,18
4.0,2020/4/10 10:30,roads_and_bridges,2
9.0,2020/4/10 10:30,roads_and_bridges,6
10.0,2020/4/10 10:30,roads_and_bridges,14
8.0,2020/4/10 10:30,roads_and_bridges,15
7.0,2020/4/10 10:30,roads_and_bridges,16
4.0,2020/4/10 10:30,roads_and_bridges,18
10.0,2020/4/10 10:30,sewer_and_water,2
2.0,2020/4/10 10:30,sewer_and_water,6
10.0,2020/4/10 10:30,sewer_and_water,14
5.0,2020/4/10 10:30,sewer_and_water,15
8.0,2020/4/10 10:30,sewer_and_water,16
10.0,2020/4/10 10:30,sewer_and_water,18
8.0,2020/4/10 10:35,buildings,2
10.0,2020/4/10 10:35,buildings,5
0.0,2020/4/10 10:35,buildings,6
9.0,2020/4/10 10:35,buildings,10
5.0,2020/4/10 10:35,buildings,13
5.0,2020/4/10 10:35,buildings,15
7.0,2020/4/10 10:35,buildings,16
8.0,2020/4/10 10:35,medical,5
8.0,2020/4/10 10:35,medical,6
8.0,2020/4/10 10:35,medical,16
1.0,2020/4/10 10:35,power,2
10.0,2020/4/10 10:35,power,5
10.0,2020/4/10 10:35,power,6
4.0,2020/4/10 10:35,power,10
10.0,2020/4/10 10:35,power,13
2.0,2020/4/10 10:35,power,15
6.0,2020/4/10 10:35,power,16
1.0,2020/4/10 10:35,roads_and_bridges,2
10.0,2020/4/10 10:35,roads_and_bridges,5
7.0,2020/4/10 10:35,roads_and_bridges,6
4.0,2020/4/10 10:35,roads_and_bridges,10
6.0,2020/4/10 10:35,roads_and_bridges,13
2.0,2020/4/10 10:35,roads_and_bridges,15
8.0,2020/4/10 10:35,roads_and_bridges,16
0.0,2020/4/10 10:35,sewer_and_water,2
9.0,2020/4/10 10:35,sewer_and_water,5
2.0,2020/4/10 10:35,sewer_and_water,6
8.0,2020/4/10 10:35,sewer_and_water,10
9.0,2020/4/10 10:35,sewer_and_water,13
7.0,2020/4/10 10:35,sewer_and_water,15
10.0,2020/4/10 10:35,sewer_and_water,16
10.0,2020/4/10 10:40,buildings,5
0.0,2020/4/10 10:40,buildings,6
4.0,2020/4/10 10:40,buildings,16
6.0,2020/4/10 10:40,medical,5
10.0,2020/4/10 10:40,medical,6
9.0,2020/4/10 10:40,medical,16
3.0,2020/4/10 10:40,power,5
3.0,2020/4/10 10:40,power,6
10.0,2020/4/10 10:40,power,16
8.0,2020/4/10 10:40,roads_and_bridges,5
3.0,2020/4/10 10:40,roads_and_bridges,6
0.0,2020/4/10 10:40,roads_and_bridges,16
0.0,2020/4/10 10:40,sewer_and_water,5
7.0,2020/4/10 10:40,sewer_and_water,6
7.0,2020/4/10 10:40,sewer_and_water,16
9.0,2020/4/10 10:45,buildings,2
5.0,2020/4/10 10:45,buildings,11
1.0,2020/4/10 10:45,buildings,15
5.0,2020/4/10 10:45,buildings,18
7.0,2020/4/10 10:45,buildings,19
1.0,2020/4/10 10:45,medical,11
5.0,2020/4/10 10:45,power,2
7.0,2020/4/10 10:45,power,11
9.0,2020/4/10 10:45,power,15
2.0,2020/4/10 10:45,power,18
10.0,2020/4/10 10:45,power,19
9.0,2020/4/10 10:45,roads_and_bridges,2
6.0,2020/4/10 10:45,roads_and_bridges,11
8.0,2020/4/10 10:45,roads_and_bridges,15
6.0,2020/4/10 10:45,roads_and_bridges,18
8.0,2020/4/10 10:45,roads_and_bridges,19
6.0,2020/4/10 10:45,sewer_and_water,2
9.0,2020/4/10 10:45,sewer_and_water,11
8.0,2020/4/10 10:45,sewer_and_water,15
3.0,2020/4/10 10:45,sewer_and_water,18
4.0,2020/4/10 10:45,sewer_and_water,19
9.0,2020/4/10 10:50,buildings,2
5.0,2020/4/10 10:50,buildings,6
7.5,2020/4/10 10:50,buildings,8
10.0,2020/4/10 10:50,buildings,9
3.0,2020/4/10 10:50,buildings,15
5.0,2020/4/10 10:50,buildings,16
9.0,2020/4/10 10:50,buildings,19
8.0,2020/4/10 10:50,medical,6
9.0,2020/4/10 10:50,medical,9
2.5,2020/4/10 10:50,medical,16
10.0,2020/4/10 10:50,power,2
5.0,2020/4/10 10:50,power,6
6.0,2020/4/10 10:50,power,8
3.0,2020/4/10 10:50,power,9
6.0,2020/4/10 10:50,power,15
1.5,2020/4/10 10:50,power,16
3.0,2020/4/10 10:50,power,19
1.0,2020/4/10 10:50,roads_and_bridges,2
4.0,2020/4/10 10:50,roads_and_bridges,6
2.0,2020/4/10 10:50,roads_and_bridges,8
0.0,2020/4/10 10:50,roads_and_bridges,9
4.0,2020/4/10 10:50,roads_and_bridges,15
2.25,2020/4/10 10:50,roads_and_bridges,16
5.0,2020/4/10 10:50,roads_and_bridges,19
10.0,2020/4/10 10:50,sewer_and_water,2
5.0,2020/4/10 10:50,sewer_and_water,6
4.5,2020/4/10 10:50,sewer_and_water,8
10.0,2020/4/10 10:50,sewer_and_water,9
4.0,2020/4/10 10:50,sewer_and_water,15
7.0,2020/4/10 10:50,sewer_and_water,16
1.0,2020/4/10 10:50,sewer_and_water,19
0.0,2020/4/10 10:55,buildings,6
4.0,2020/4/10 10:55,buildings,19
8.0,2020/4/10 10:55,medical,6
7.0,2020/4/10 10:55,medical,19
3.0,2020/4/10 10:55,power,6
3.0,2020/4/10 10:55,power,19
10.0,2020/4/10 10:55,roads_and_bridges,6
2.0,2020/4/10 10:55,roads_and_bridges,19
10.0,2020/4/10 10:55,sewer_and_water,6
3.0,2020/4/10 10:55,sewer_and_water,19
8.0,2020/4/10 11:00,buildings,1
1.0,2020/4/10 11:00,buildings,8
0.0,2020/4/10 11:00,buildings,9
1.0,2020/4/10 11:00,buildings,16
10.0,2020/4/10 11:00,buildings,19
5.0,2020/4/10 11:00,medical,1
3.0,2020/4/10 11:00,medical,9
1.0,2020/4/10 11:00,medical,16
0.5,2020/4/10 11:00,power,1
3.0,2020/4/10 11:00,power,8
7.0,2020/4/10 11:00,power,9
3.0,2020/4/10 11:00,power,16
1.0,2020/4/10 11:00,power,19
3.0,2020/4/10 11:00,roads_and_bridges,1
7.0,2020/4/10 11:00,roads_and_bridges,8
6.0,2020/4/10 11:00,roads_and_bridges,9
5.0,2020/4/10 11:00,roads_and_bridges,16
8.0,2020/4/10 11:00,roads_and_bridges,19
4.5,2020/4/10 11:00,sewer_and_water,1
10.0,2020/4/10 11:00,sewer_and_water,8
5.0,2020/4/10 11:00,sewer_and_water,9
7.0,2020/4/10 11:00,sewer_and_water,16
7.0,2020/4/10 11:00,sewer_and_water,19
9.0,2020/4/10 11:05,buildings,2
3.0,2020/4/10 11:05,buildings,5
6.0,2020/4/10 11:05,buildings,6
6.0,2020/4/10 11:05,buildings,8
10.0,2020/4/10 11:05,buildings,9
7.0,2020/4/10 11:05,buildings,19
3.0,2020/4/10 11:05,medical,5
6.0,2020/4/10 11:05,medical,6
5.0,2020/4/10 11:05,medical,9
5.0,2020/4/10 11:05,power,2
7.0,2020/4/10 11:05,power,5
2.5,2020/4/10 11:05,power,6
4.0,2020/4/10 11:05,power,8
9.0,2020/4/10 11:05,power,9
1.0,2020/4/10 11:05,power,19
2.0,2020/4/10 11:05,roads_and_bridges,2
8.0,2020/4/10 11:05,roads_and_bridges,5
2.5,2020/4/10 11:05,roads_and_bridges,6
1.5,2020/4/10 11:05,roads_and_bridges,8
4.0,2020/4/10 11:05,roads_and_bridges,9
10.0,2020/4/10 11:05,roads_and_bridges,19
10.0,2020/4/10 11:05,sewer_and_water,2
7.0,2020/4/10 11:05,sewer_and_water,5
6.5,2020/4/10 11:05,sewer_and_water,6
8.0,2020/4/10 11:05,sewer_and_water,8
9.0,2020/4/10 11:05,sewer_and_water,9
4.0,2020/4/10 11:05,sewer_and_water,19
10.0,2020/4/10 11:10,buildings,11
10.0,2020/4/10 11:10,buildings,13
3.2,2020/4/10 11:10,buildings,15
7.0,2020/4/10 11:10,medical,11
0.0,2020/4/10 11:10,medical,15
9.0,2020/4/10 11:10,power,11
9.0,2020/4/10 11:10,power,13
7.2,2020/4/10 11:10,power,15
10.0,2020/4/10 11:10,roads_and_bridges,11
